case,n,m,family,seed,configuration,macs,weight_density,kernel_words,kernel_sha256,input_words,cycles,cold,fetch,memory,wait,setup,scalar,retired,outputs
n8_m1_sparse_s1730_iterative_staged,8,1,sparse,1730,iterative_staged,8,0.375,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_sparse_s1730_iterative_fused,8,1,sparse,1730,iterative_fused,8,0.375,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_sparse_s1730_parallel_fused,8,1,sparse,1730,parallel_fused,8,0.375,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_sparse_s1731_software,8,1,sparse,1731,software,8,0.125,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,249,445,83,82,0,0,84,83,1
n8_m1_sparse_s1731_iterative_staged,8,1,sparse,1731,iterative_staged,8,0.125,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_sparse_s1731_iterative_fused,8,1,sparse,1731,iterative_fused,8,0.125,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_sparse_s1731_parallel_fused,8,1,sparse,1731,parallel_fused,8,0.125,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_small_s1729_software,8,1,small,1729,software,8,0.875,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,1575,1771,525,610,0,0,440,525,1
n8_m1_small_s1729_iterative_staged,8,1,small,1729,iterative_staged,8,0.875,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_small_s1729_iterative_fused,8,1,small,1729,iterative_fused,8,0.875,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_small_s1729_parallel_fused,8,1,small,1729,parallel_fused,8,0.875,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
n8_m1_small_s1730_software,8,1,small,1730,software,8,0.875,660,b48804a39d7da418dd4eda8a29611a4d722e288cc3c2306431cc7bf1abdb8c49,16,1431,1627,477,538,0,0,416,477,1
n8_m1_small_s1730_iterative_staged,8,1,small,1730,iterative_staged,8,0.875,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,186,382,27,34,104,3,18,27,1
n8_m1_small_s1730_iterative_fused,8,1,small,1730,iterative_fused,8,0.875,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,170,366,27,34,88,3,18,27,1
n8_m1_small_s1730_parallel_fused,8,1,small,1730,parallel_fused,8,0.875,27,b71a10634b13d50087f05861f9a30ed5625cb28e668380eb38cda0d33da30b70,16,106,302,27,34,24,3,18,27,1
